,PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Title,PassengerType
0,1,0,3,1,1,0,7.25,1,1,4
1,2,1,1,0,1,0,71.2833,2,1,4
2,3,1,3,0,0,0,7.925,1,1,4
3,4,1,1,0,1,0,53.1,1,1,4
4,5,0,3,1,0,0,8.05,1,1,4
5,6,0,3,1,0,0,8.4583,3,1,4
6,7,0,1,1,0,0,51.8625,1,1,4
7,8,0,3,1,3,1,21.075,1,2,2
8,9,1,3,0,0,2,11.1333,1,1,4
9,10,1,2,0,1,0,30.0708,2,1,3
10,11,1,3,0,1,1,16.7,1,1,2
11,12,1,1,0,0,0,26.55,1,1,4
12,13,0,3,1,0,0,8.05,1,1,4
13,14,0,3,1,1,5,31.275,1,1,4
14,15,0,3,0,0,0,7.8542,1,1,3
15,16,1,2,0,0,0,16.0,1,1,4
16,17,0,3,1,4,1,29.125,3,2,2
17,18,1,2,1,0,0,13.0,1,1,4
18,19,0,3,0,1,0,18.0,1,1,4
19,20,1,3,0,0,0,7.225,2,1,4
20,21,0,2,1,0,0,26.0,1,1,4
21,22,1,2,1,0,0,13.0,1,1,4
22,23,1,3,0,0,0,8.0292,3,1,3
23,24,1,1,1,0,0,35.5,1,1,4
24,25,0,3,0,3,1,21.075,1,1,2
25,26,1,3,0,1,5,31.3875,1,1,4
26,27,0,3,1,0,0,7.225,2,1,4
27,28,0,1,1,3,2,263.0,1,1,4
28,29,1,3,0,0,0,7.8792,3,1,2
29,30,0,3,1,0,0,7.8958,1,1,4
30,31,0,1,1,0,0,27.7208,2,4,4
31,32,1,1,0,1,0,146.5208,2,1,4
32,33,1,3,0,0,0,7.75,3,1,2
33,34,0,2,1,0,0,10.5,1,1,5
34,35,0,1,1,1,0,82.1708,2,1,4
35,36,0,1,1,1,0,52.0,1,1,4
36,37,1,3,1,0,0,7.2292,2,1,4
37,38,0,3,1,0,0,8.05,1,1,4
38,39,0,3,0,2,0,18.0,1,1,4
39,40,1,3,0,1,0,11.2417,2,1,3
40,41,0,3,0,1,0,9.475,1,1,4
41,42,0,2,0,1,0,21.0,1,1,4
42,43,0,3,1,0,0,7.8958,2,1,4
43,44,1,2,0,1,2,41.5792,2,1,2
44,45,1,3,0,0,0,7.8792,3,1,4
45,46,0,3,1,0,0,8.05,1,1,4
46,47,0,3,1,1,0,15.5,3,1,4
47,48,1,3,0,0,0,7.75,3,1,2
48,49,0,3,1,2,0,21.6792,2,1,4
49,50,0,3,0,1,0,17.8,1,1,4
50,51,0,3,1,4,1,39.6875,1,2,2
51,52,0,3,1,0,0,7.8,1,1,4
52,53,1,1,0,1,0,76.7292,2,1,4
53,54,1,2,0,1,0,26.0,1,1,4
54,55,0,1,1,0,1,61.9792,2,1,5
55,56,1,1,1,0,0,35.5,1,1,4
56,57,1,2,0,0,0,10.5,1,1,4
